Titlu,Descriere,Categorie
Aniversarea fondatorului primei școli de calculatoare,"În data de 28 noiembrie 2014, începând cu ora 12:00, în amfiteatrul „Alexandru Rogojan”, are loc aniversarea a 100 de ani de la naşterea  domnului Prof. Dr. Ing. Alexandru ROGOJAN, fondatorul primei școli de calculatoare din România.",EVENIMENT
INFER Workshop,"În perioada 12-13 decembrie 2014 va avea loc workshop-ul INFER pe tema  „Monetary Policy, Asset Prices and the Real Economy in Central and Eastern Europe”. Workshop-ul este organizat de Centrul de Cercetări în Inginerie şi Management (UPT), în colaborare cu International Network for Economic Research (INFER) şi centrul de cercetare ECREB (UVT). Deschiderea evenimentului va [...]",EVENIMENT
Comunicarea științei și vizibilitatea cercetării,"Comisia de Cercetare din cadrul Departamentului de Comunicare și Limbi Străine organizează în data de 27 noiembrie 2014 masa rotundă cu tema Comunicarea științei și vizibilitatea cercetării. Evenimentul se va desfășura în intervalul 12:00-14:00, în sala 210, clădirea  ASPC. Cadrele didactice din departament sunt invitate să prezinte  cele mai importante realizări din activitatea de cercetare desfășurată [...]",DIDACTIC
„Ingineria” traducerii,"Serviciul intern de traducere al companiei Continental Automotive România și Facultatea de Ştiinţe ale Comunicării organizează un atelier de lucru pentru studenți cu tema „Ingineria” traducerii: Primii pași în traducere tehnică asistată de calculator, având în vedere: prezentarea serviciului intern de traducere al companiei Continental Automotive Romania ca potențial angajator pentru studenții și absolvenții facultăților [...]",EVENIMENT
Subvenții seminarii doctorale,"Agenția Universitară a Francofoniei &#8211; Biroul Europa Centrală și Orientală a lansat un apel pentru proiecte vizând organizarea unor seminarii doctorale în domeniul științei și tehnologiei. Pot candida consorții formate din trei instituții membre AUF, reprezentând trei țări diferite, din care două trebuie să fie din Europa Centrală și Orientală.  Proiectele selectate vor permite organizarea [...]",CERCETARE - COOPERARE
InGENIOUSly Continental 2015,"Marți, 25 noiembrie 2014, are loc promovarea celei de a II-a ediții a competiției multidisciplinare InGENIOUSly Continental. Obiectivul competiției este ca, în decursul a 12 săptămâni, studenți din UPT să realizeze o „mașină” capabilă de „Autonomus Parking”, pornind de la un Arduino 4WD. Se intenționează formarea a 10 echipe, alcătuite din: 2 studenți care vor [...]",EVENIMENT
Conferință Medicina muncii,"În data de 26 noiembrie 2014, începând cu ora 18:00, la sediul Practicor va avea loc conferința „Medicina muncii în mediul de afaceri din România” susținută de Dr. Malvina Caleanu, medic specialist în medicina muncii. Conferința se adresează cu precădere cadrelor didactice și studenților din grupul țintă al proiectului PRACTICOR ® EURO-REGIO, însă sunt bine [...]",EVENIMENT
Workshop actualizare programe de studii,"În cadrul proiectului „Orientarea programelor de studii pe realitatea economică regională, validarea acestora de către actorii economici și dinamizarea relației in tripleta universitate-student-companii, pentru un învățământ superior tehnic performant &#8211; OVDIP” se va desfășura vineri, 21.11.2014, în sala A108, Corp B Electro, primul workshop dedicat actualizării programelor de studii. Setul de activități A2 își propunere [...]",ALTE ANUNȚURI
Impactul deșeurilor și poluanților asupra mediului și climei – conferință finală,"Facultatea de Chimie Industrială și Ingineria Mediului a Universității Politehnica Timișoara, alături de partenerul său Universitatea de Științe Aplicate și Arte Northwestern, Elveția, organizează conferința finală a proiectului &#8220;Impact of waste and pollutants on environment and climate: Collaborative research study of the wastewater discharge impact in the BEGA-TIMIS river sub-basin&#8221;. Conferința se desfășoară în săptămâna [...]",EVENIMENT
Urări de Sărbători,,ALTE ANUNȚURI
PRACTICOR ® EURO-REGIO în 2014,"Pe parcursul anului 2014, studenții din  UPT  au beneficiat de consiliere și stagii de practică prin proiectul PRACTICOR ® EURO-REGIO. Printre rezultatele obținute în cadrul proiectului în anul 2014 se numără și următoarele: -          16 acorduri- cadru de colaborare au fost încheiate cu firme pentru a deveni parteneri de practică; -          118 studenți, din anii [...]",DIDACTIC
Conferința Soft Robotics,"Vineri, 12 decembrie, de la ora 11:00, în sala A101 din clădirea Electro, va avea loc conferința Soft Robotics: Sensitive and Compliant Robots for Interaction with Humans and Unknown Environments. Manifestarea este susținută de domnul Ing. Dr. Alin ALBU SCHAEFFER de la German Aerospace Center, Institute of Robotics and Mechatronics, absolvent al Facultății de Electronică [...]",EVENIMENT
Seminar OCR Technology,"Joi, 11 decembrie, va avea loc seminarul OCR Technology for Automatic License Plate Recognition in Android Systems, susținut de Dr. Nguyen Anh Tuan, decan la Faculty of Computer Network and Communication, HCMC, din Vietnam. Evenimentul va avea loc începând cu ora 10:00, la Casa Politehnicii 2. Manifestarea este organizată de Centrul Multimedia și Facultatea de [...]",EVENIMENT
Susținere teză de abilitare – Conf. Dr. Ing. Doru VĂTĂU,"Vineri, 28 noiembrie, a avut loc susținerea publică a tezei de abilitare elaborată de domnul Conf. Dr. Ing. Doru VĂTĂU. Manifestarea a avut loc la Facultatea de Electrotehnică și Electroenergetică.",EVENIMENT
Vector Workshop Timișoara 2014,"Marți, 9 decembrie, studenții și cadrele didactice de la Facultatea de Electronică și Telecomunicații, respectiv Automatică și Calculatoare, sunt invitați să participe la un training gratuit, „Vector Workshop Timișoara 2014”, oferit de compania Vector Austria. Evenimentul va avea loc între orele 9:00 – 16:30,  în Sala Polivalentă a Bibliotecii Centrale a UPT. Prezentările vor aborda [...]",EVENIMENT
STUDENT EMINENT 2014,"Studenții și cercetătorii din UPT vor fi premiați în cadrul celei de a 19-a ediții a evenimentului „Student Eminent” care va avea loc luni, 8 decembrie, începând cu ora 18:00, în amfiteatrul „Alexandru Rogojan”, din clădirea Electro. Festivitatea de decernare a diplomelor și premiilor anuale este destinată studenților și tinerilor cercetători cu rezultate excepționale în [...]",EVENIMENT
Rețea WiFi pentru UPT,"În urma derulării proiectului HURO/1101/074/1.2.1, Joint Cross-Border Internet Communication System of the University of Debrecen and Politehnica University of Timişoara, în cadrul Programului de Cooperare Transfrontalieră Ungaria-România, manager de proiect pentru partea română prof. dr. ing. Mircea Popa, a fost creată şi dată în folosinţă o reţea WiFi, alcătuită din 200 puncte de acces împreună [...]",INFORMATIZARE
"Workshop cu tema internaționalizării învățământului superior, în cadrul proiectului POSDRU/155/1.2/S/136180 – Internaţionalizare, echitate şi management universitar pentru un învăţământ superior de calitate (IEMU)","Marți, 09.12, orele 9-13, va avea loc un Workshop cu tema internaționalizării învățământului superior, în cadrul proiectului POSDRU/155/1.2/S/136180 - Internaţionalizare, echitate şi management universitar pentru un învăţământ superior de calitate (IEMU). Prezentările vor fi susținute de experți internaționali și ai UPT. Programul este disponibil aici. Evenimentul va avea loc în Sala mică a Senatului și este [...]",EVENIMENT
Membru de Onoare al Asociației Mondiale de Drumuri,"În semn de recunoaștere a contribuției sale excepționale la activitatea Asociației Mondiale de Drumuri (AIPCR/PIARC), domnul Prof. Dr. Ing. Gheorghe LUCACI, Decanul Facultății de Construcții, a fost ales Membru de Onoare al acestei asociații. Distincția a fost acordată cu ocazia ședinței Consiliului General care a avut loc în 30 octombrie 2014, în Santiago de Chile. [...]",CERCETARE - COOPERARE
Chestionar „Smart City & Campus – You and the University/Campus”,"Centrul Multimedia desfășoară în perioada 24.01.2015 &#8211; 6.02.2015 un studiu în vederea evaluării standardului de Smart City &#38; Campus al UPT și al orașului Timișoara. Studiul se derulează în cadrul unei colaborări internaționale,  propunându-și  să înțeleagă modul în care campusul și orașul răspund nevoilor dumneavoastră. În plus, își dorește să identifice potențiale oportunități de dezvoltare [...]",CERCETARE - COOPERARE
Premiu la IFToMM Asian Conference on Mechanism and Machine Science,"Lucrarea „Design and Control Solutions for Haptic Elbow Exoskeleton Module Used in Space Telerobotics” a obținut  premiul „Best Paper Award”, în cadrul celei de-a 3-a Conferinţe Asiatice IFToMM de Ştiinţa Mecanismelor şi Maşinilor.  Conferinţa a avut loc  la Tianjin, China, în  perioada 9 – 10 iulie 2014. Autorii lucrării sunt Conf. dr. ing. Erwin-Christian Lovasz, [...]",CERCETARE - COOPERARE
Arealul retoricii: explorări critice,"În data de 23 ianuarie va avea loc prima ediție a seminarului științific studențesc „Arealul retoricii: explorări critice”. Evenimentul se va desfășura în intervalul 10:00-13:00, în sala A225 din clădirea ASPC, fiind organizat de Asist. dr. Cosmin BĂIAȘ. Seminarul își propune să consolideze cunoștințele dobândite în cadrul disciplinei Retorică și argumentare. O parte dintre studenții [...]",EVENIMENT
Grant suport pentru premianții Academiei Române,"Autorii lucrărilor premiate de Academia Română vor primi un grant suport în valoare de 1500 de euro, potrivit hotărârii Consiliului de Administrație al Universității Politehnica Timișoara nr. 2/ 13.01.2015. Grantul va fi oferit pentru fiecare din cele două premii obținute, fiind atribuit autorilor din UPT.",ALTE ANUNȚURI
"Expoziția „Politehnica în artă, arta în Politehnică”","Fundația Politehnica organizează în perioada 22 ianuarie – 5 februarie, la Galeria HELIOS, din Piața Victoriei, expoziția „Politehnica în artă, arta în Politehnică”, în cadrul căreia vor fi prezentate lucrările a 15 artiști, foști absolvenți ai Universității Politehnica Timișoara. Vernisajul acestei expoziții va avea loc joi, 22 ianuarie, de la ora 18:00.",EVENIMENT
Prezentare burse de cercetare Humboldt,"Miercuri, 11 februarie, de la ora 14:30, în Sala Mică a Senatului UPT, va avea loc o prezentare a burselor de cercetare Humboldt. Prezentarea va fi susținută de Conf. univ. dr. Ruxandra Cosma, ambassador scientist la Fundația Alexander von Humboldt,  și se adresează  cadrelor didactice, cercetătorilor, postdoctoranzilor și doctoranzilor din ultimul an de studiu.",CERCETARE - COOPERARE
Susținere teză de abilitare Conf. dr. ing. Sorin MUȘUROI,"Luni, 19 ianuarie, de la ora 12:00, în Sala a Mare a Senatului, va avea loc susținerea publică a tezei de abilitare cu titlul „Contributions to the Optimal Structures of the Electromechanical Systems and the Electric Power Quality”, elaborată de Conf. dr. ing. Sorin Mușuroi.",EVENIMENT
Susținere teză de abilitare Prof. dr. ing. Mihai Victor MICEA,"Vineri, 16 ianuarie, la ora 11:00, în sala A109 din clădirea Electro, va avea loc susținerea publică a tezei de abilitare cu titlul „Research and Achievements in Real-Time and Embedded Systems, Intelligent Sensor Networks and Robotic Environments”, elaborată de  Prof. dr. ing. Mihai Victor Micea.",EVENIMENT
Lansare de carte organizată de Fundația Politehnica,"Joi, 15 ianuarie, Fundația Politehnica va organiza un eveniment de lansare a cărții „Banatul în lupta antiotomană”, scrisă de Ioan Hațegan și Alexandru Kosa și tipărită de editurile Banatul și Artpress din Timișoara. Lansarea va avea loc în Sala Senatului UPT, începând cu ora 15:00.",EVENIMENT
Premiile Academiei pentru 2012 (II),"În data de 19 decembrie 2014 a avut loc decernarea premiilor Academiei Române pentru anul 2012, eveniment care s-a desfășurat în cadrul ședinței solemne a Adunării Generale a Academiei Române. Pe lângă premiul „Anghel Saligny” obtinut de  Prof. dr. ing. Dan Dubină, UPT a mai fost distinsă și cu premiul „Costin D. Nenițescu”, din cadrul [...]",CERCETARE - COOPERARE
Subvenționare participare studenți la Târgul internațional ENERG ENERGIA REGENERABILĂ,"Studenții UPT care doresc să participe la Târgul internațional ENREG ENERGIA REGENERABILĂ care va avea loc la EXPO Arad, în intervalul 4-6 martie 2015, o pot face în mod gratuit implicându-se în acțiunea *Porți deschise &#8211; PRACTICOR ® EURO-REGIO*. Transportul, participarea și ghidarea tematică se vor asigura gratuit în zilele de 4, respectiv 5 martie 2015. Plecarea [...]",DIDACTIC
Conferința științifică a studenților “Importanța învățământului universitar în cadrul societății bazate pe cunoaștere”,"Academia de Poliție ”Alexandru  Ioan  Cuza” are deosebita plăcere de a vă invita să participați la Conferința științifică a studenților ”Importanța învățământului universitar în cadrul societății bazate pe cunoaștere” , ediția a IV-a, organizată în data de 30 aprilie 2015.  Conferința își propune să creeze un spațiu al dialogului și al colaborării și se adresează [...]",EVENIMENT
Supereroi  pentru viaţă,"Universitatea Politehnica Timişoara organizează în perioada 23 &#8211; 27 februarie campania de donare de sânge „Supereroi pentru viață &#8211; primul campionat de donare de sânge din UPT”. Campania se derulează sub forma unui concurs între facultățile din UPT. Concursul se adresează studenților și cadrelor didactice din UPT, dar orice altă persoană interesată poate dona. Colectarea [...]",EVENIMENT
Conferinţele ATRACTING,"În perioada 24 &#8211; 25 februarie 2015, se va desfășura workshop-ul „Creșterea atractivității și performanței programelor de formare doctorală și postdoctorală pentru cercetători în științe inginerești &#8211; ATRACTING”, organizat în cadrul proiectului POSDRU ID 137070/ATRACTING. Evenimentul se adresează doctoranzilor, cercetătorilor și cadrelor didactice și se va desfășura  sub forma unor  conferințe care se vor derula [...]",EVENIMENT
InGENIOUSLY Continental 2015 (II),"Competiția multidisciplinară InGENIOUSly Continental începe săptămână aceasta. Săptămâna trecută a fost finalizat procesul de selecție, fiind create 10 echipe de câte 5 membri fiecare. Tinerii au fost provocați de Continental să creeze o mașină care să poată fi controlată cu ajutorul telefonului mobil, având la dispoziție 12 săptămâni. La finalul acestei perioade, echipele vor realiza [...]",EVENIMENT
Research Report 2014,Volumul Research Report 2014 este disponibil în format electronic și poate fi descărcat de toți cei interesați. Raportul prezintă rezultatele activității de cercetare obținute de UPT  pe durata anului 2014 și este structurat în 13 secțiuni. &#160;,CERCETARE - COOPERARE
Aniversare Prof. emerit dr. ing. Coleta De Sabata,"Fundația Politehnica și Departamentul de Bazele Fizice ale Ingineriei sărbătoresc joi, 12 februarie, aniversarea doamnei Prof. emerit dr. ing. Coleta De Sabata, fost Rector UPT și membru de onoare al Fundației Politehnica. Evenimentul va avea loc de la ora 16:30, în Sala Senatului și este organizat cu ocazia împlinirii frumoasei vârste de 80 de ani.",EVENIMENT
Workshop National Instruments,"În data de 6 februarie, începând cu ora 10:00, în clădirea Electro, va avea loc workshopul National Instruments cu titlul „Cele mai noi tehnologii pentru cercetare și educație”. &#160;",CERCETARE - COOPERARE
Întâlnirea cu Bogdan Hrib: Autor – editor – public și provocările secolului XXI,"Joi, 26 martie 2015, scriitorul Bogdan Hrib, directorul Editurii Tritonic din București, se întâlnește cu studenții Facultății de Științe ale Comunicării pentru un dialog privind relația Autor &#8211; editor &#8211; public și provocările secolului XXI. În peisajul editorial actual, Bogdan Hrib vine cu o privire proaspătă și cu invitați pe care îi va pune în [...]",EVENIMENT
Excursie tematică la Platforma ELI de la Măgurele,"În perioada 25-27 martie, 30 de studenți, însoțiți de cadre didactice, vor realiza o excursie tematică la Platforma ELI de la Măgurele. Plecarea va avea loc miercuri, 25.03.2015, la ora 4:30, din parcarea Facultății de Eletrotehnică și Electroenergetică. Această vizită este realizată prin proiectul „Inginerie de Mentenanță pentru ELI-NP” &#8211; ID 142253, cofinanțat din Fondul [...]",CERCETARE - COOPERARE
Susținere teză de abilitare Conf. dr. ing. Ioana Popescu,"Vineri, 27 martie, începând cu ora 9:30, va avea loc susținerea publică a tezei de abilitare cu titlul „Modelarea matematică în vederea management‐ului resurselor de apă: abordarea din perspectiva domeniului Hidroinformaticii”, elaborată de Ioana Popescu, conferențiar la UNESCO-IHE Institute for Water Education (Institutul de învățământ în domeniul apelor), Delft, Olanda. Manifestarea va avea loc în [...]",EVENIMENT
"Zilele Carierei, ediția a VI-a","Miercuri, 25 martie, începe cea de a VI-a ediție a evenimentului „Zilele Carierei” care va aduce 70 de companii și 3000 de oferte de practică, de elaborare a lucrării de diplomă și de angajare. Manifestarea este destinată  studenților, masteranzilor și absolvenților, dar și companiilor și instituțiilor de profil interesate să ofere oportunități de carieră pentru [...]",EVENIMENT
Prelegeri „Tendințe și perspective în hidrodinamica turbomașinilor moderne”,"Dr. Albert Ruprecht de la Universitatea din Stuttgart,  Institutul de Mecanica Fluidelor și Mașini Hidraulice, va susține în perioada 23-26 martie, în cadrul  Universității Politehnica Timișoara, o serie de prelegeri cu privire la hidrodinamica turbomașinilor moderne. Evenimentul include următoarele prelegeri: Turbulence Modelling - luni, 23 martie, orele 17:00-19:00; Mathematical Optimization and HPC in Hydraulic Machinery - [...]",EVENIMENT
Conferința internațională „Comunicare profesională și traductologie”,Departamentul de Comunicare și Limbi Străine organizează în perioada 26-27 martie cea de a 9-a ediție a conferinței internaționale „Comunicare profesională și traductologie”. Tema acestei ediții este „Limbaj și comunicare în era digitală”. Peste 140 de participanți din 27 de țări și-au confirmat prezența la acest eveniment. Sesiunea plenară din 26 martie va fi transmisă [...],EVENIMENT
Politehnica Timișoara – un pas spre viitorul tău!,"Universitatea Politehnica Timișoara organizează, în perioada 27 &#8211; 29 martie 2015, cea de a doua ediție a manifestării „Politehnica Timișoara – un pas spre viitorul tău!”. Proiectul aduce în UPT  1000 de elevi din clasele a XI-a și a XII-a, însoțiți de cadre didactice, și are ca obiective principale informarea și familiarizarea elevilor cu mediul [...]",EVENIMENT
Întâlnire interactivă „Putem să ne proiectăm viitorul?”,"Doamna Profesor Universitar Emerit Doctor Inginer Coleta De Sabata, rector al Universității Politehnica Timișoara în perioada 1981-1989, își propune să răspundă la întrebarea „Putem să ne proiectăm viitorul?”, cu prilejul unei întâlniri interactive cu studenții Facultății de Științe ale Comunicării. Pe lângă provocarea lansată studenților, Coleta De Sabata le va împărtăși acestora din vasta sa experiență profesională, academică și culturală. [...]",EVENIMENT
Susținere teză de abilitare Prof. dr. ing. Cătălin – Daniel CĂLEANU,"Vineri, 20 martie, începând cu ora 10:30, va avea loc susținerea publică a tezei de abilitare cu titlul „Paradigme ale calculului inteligent cu aplicații în sisteme de vedere dedicate”, elaborată de Prof. dr. ing. Cătălin-Daniel CĂLEANU. Manifestarea va avea loc în sala A116 din clădirea Electro și este deschisă publicului.",EVENIMENT
Susţinere teză de abilitare Conf. dr. ing. Corina NAFORNIȚĂ,"Vineri, 20 martie, începând cu ora 9:00, va avea loc susținerea publică a tezei de abilitare elaborată de Conf. dr. ing. Corina Naforniță. Manifestarea va avea loc în sala A116 din clădirea Electro și este deschisă publicului.",EVENIMENT
Susținere teză de abilitare Conf. dr. ing. Marius MOŞOARCĂ,"Marți, 5 mai, începând cu ora 09:00, va avea loc susținerea publică a tezei de abilitare cu titlul “Bearing structures in architecture. Past, present and future”/”Structuri portante în arhitectură. Trecut, prezent și viitor”, elaborată de Conf. dr. ing. Marius MOŞOARCĂ. Manifestarea va avea loc în amfiteatrul Constantin Avram al Facultății de Construcții, str. Traian Lalescu, [...]",EVENIMENT
Susținere teză de abilitare Conf. dr. ing. Adrian CIUTINA,"Marți, 5 mai, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul “Sustainable Design of Seismic Resistant Steel and Composite Building Structures”, elaborată de Conf. dr. ing. Adrian CIUTINA. Manifestarea va avea loc în amfiteatrul Constantin Avram al Facultății de Construcții, str. Traian Lalescu, Nr. 2A, etaj 1.",EVENIMENT
Pemiul I pentru Universitatea Politehnica Timișoara la Timișoara Open Culture Hackathon,"Sâmbătă și duminică, 18, 19 aprilie 2015, la Timișoara, a avut loc primul eveniment din România de reutilizare a datelor culturale deschise Timișoara Open Culture Hackathon, care a provocat programatorii și reprezentanții instituțiilor de cultură să dezvolte împreună aplicații culturale web și pentru telefoane mobile, ca suport în pregătirea proiectului Timișoara Capitală Culturală Europeană. Monumente, [...]",EVENIMENT
Conferințe dedicate noțiunilor de baza în biotehnologie,"Între 28 &#8211; 29 aprilie 2015, Dr. habil Kovacs Kornel de la Universitatea din Szeged &#8211; departamentul de biotehnologii, director al Centreului de Cercetări de Biotehnologii din cadrul Academiei Maghiare de Științe va susține la Timișoara o serie de conferințe. Acestea vor acoperi domeniul interdisciplinar legat de necesitatea bioenergiei ca resursă regenerabilă, avantajele sale și [...]",EVENIMENT
Prelegeri cu tematica „Vehicle safety” la Universitatea Politehnica Timișoara,"Între 28 &#8211; 29 aprilie 2015, Universitatea Politehnica Timișoara alături de un important partener din industria siguranței autovehiculelor va organiza o serie de prelegeri cu tematica „Vehicle safety”.  Acestea vor fi susținute de specialiști din departamentul Global Engineering al companiei Takata &#8211; Germania și se adresează în special studenților din anii III și IV de [...]",EVENIMENT
Invitație seminar online pentru studenții  UPT,"Luni, 27 aprilie, de la 14:00 – 15:00, Comisia Fulbright România organizează seminarul online “A Fulbrighter’s Experience: What You Need to Know about Graduate Study Opportunities in the US”. Webinarul are ca subiect atât bursele Fulbright Student, pentru anul academic 2016/2017, cât și experiența practică a unui student român în Statele Unite.  Invitată la seminarul online [...]",EVENIMENT
"Trei conferințe interdisciplinare se desfășoară zilele acestea la UPT, în cadrul PRACTICOR® EURO-REGIO","Timișoara, 21 Aprilie 2015:  Una dintre prioritățile majore ale Universității Politehnica Timișoara este de a oferi studenților săi oportunități de practică relevantă, conștientizând că nu numai poziția de lider în plan educațional și de cercetare avansată impune acest aspect, dar și realitatea pieței muncii oferită de angajatori. În acest context practica a devenit o disciplină [...]",EVENIMENT
Competiție FameLab International,"Vineri, 24 Aprilie 2015, începând cu ora 11 la  sediul Rectoratul Universității Politehnica Timișoara, Piața Victoriei nr. 2, în Sala Mică a Senatului se va organiza selecția regională pentru participarea la Competiția FameLab. FameLab International este o competiție incitanta, organizată de British Council care urmărește să descopere tinerele talente în comunicarea științei. Câștigătorul competiției va [...]",EVENIMENT
Modul de competențe antreprenoriale: „Project Management Challenge – Life. Reloaded”,"În perioada 24-25 aprilie 2015 va avea loc cel de-al doilea modul de competențe antreprenoriale intitulat „Project Management Challenge – Life. Reloaded&#8221;, susținut de Marius FOICA – Senior Project Manager în cadrul firmei Atos IT Solutions and Services. Modulul se adresează tuturor studenților UPT, iar selecția se face pe principiul „primul venit, primul servit” până la ocuparea [...]",EVENIMENT
Susținere teză de abilitare Conf. dr. ing. Lucian Nicolae TUTELEA,"Vineri, 24 aprilie, începând cu ora 10:00, va avea loc susținerea publică a tezei de abilitare cu titlul “Optimal design and control of electrical machines for more efficient energy conversion”, elaborată de Conf. dr. ing. Lucian Nicolae TUTELEA. Manifestarea va avea loc în sala D104 din Clădirea Electro și este deschisă publicului.",EVENIMENT
Workshop „ET-EE JOB 2015 la Facultatea de Electrotehnică şi Electroenergetică,"Facultatea de Electrotehnică şi Electroenergetică vă invită ,joi, 28 Mai 2015, la Workshop &#8221;ET-EE JOB 2015&#8220;. Evenimentul va reuni reprezentanți ai principalelor firme din Regiunea de Vest a țării și studenți din anii terminali, de la licență și master. Scopul acțiunii este de a da acestor firme posibilitatea să prezinte studenților oferta locurilor de muncă. În după amiaza aceleiași zile se va desfăşura şi Sesiunea de Comunicări Științifice Studențești 2015, ediția a II-a. [...]",DIDACTIC
Sesiune de comunicări pentru tineret ”TMTinIng2015” la Facultatea de Mecanică,"În perioada 28-29 mai 2015, la Facultatea de Mecanică, se organizează cea de-a XI-a ediție a sesiunii de comunicări pentru tineret ”TMTinIng2015”. Sesiunea de comunicări se adresează în principal masteranzilor anului II, din departamentul MMUT al Facultății de Mecanică, și doctoranzilor și se va desfășura în sala SMC, Facultatea de Mecanică, după următorul program. Manifestarea este organizată [...]",DIDACTIC
Laborator LTE 4G donat de Alcatel Lucent,"În data de 27 mai 2015, începând cu ora 11:00, Alcatel-Lucent România deschide la Facultatea de Electronică și Telecomunicații din cadrul Universității Politehnica Timișoara (UPT) un Laborator LTE dedicat studenților din anii terminali, o investiție în valoare de 200.000 de euro. Deschiderea Laboratorului LTE 4G face parte din strategia Alcatel-Lucent România de a contribui la [...]",CERCETARE - COOPERARE
Simpozion – ”DE LA CASA CU CONSUM REDUS DE ENERGIE LA CASA INTELIGENTĂ”,"Academia Română &#8211; Filiala Timişoara, prin Centrul De Cercetări Tehnice Fundamentale si Avansate, Secţia de Construcţii Metalice si Sudură, în colaborare cu Universitatea Politehnica Timişoara, CENTRUL DE CERCETĂRI PENTRU ENERGII REGENERABILE &#8211; ICER, vă adresează invitația de a participa la simpozionul ”DE LA CASA CU CONSUM REDUS DE ENERGIE LA CASA INTELIGENTĂ”. Simpozionul se organizează în [...]",EVENIMENT
Modul de competențe antreprenoriale: „ANTEPRENORIATUL – de la START la PERFORMANȚĂ!”,"În perioada 29-30 mai 2015 va avea loc cel de-al cincilea modul de competențe antreprenoriale intitulat „ANTEPRENORIATUL &#8211; de la START la PERFORMANȚĂ!&#8221;, susținut de Ciprian ANGHELUȚĂ &#8211; psiholog militar, specializat în profiling, coaching de performanță şi training, împreună cu Vlad STANCIU &#8211; director executiv al clusterelor ROSENC (Clusterul de energii sustenabile din România și [...]",EVENIMENT
Concursul profesional “Profesor Constantin Ghiulai” – Editia a II-a,"Miercuri, 27.05.2015, în intervalul orar 8-10, în sala 131 a Facultății de Mecanică, se va desfășura cea de a doua ediție a Concursului profesional &#8220;Profesor Constantin Ghiulai&#8221; dedicată domeniului Dinamica Autovehiculelor. Concursul se adresează tuturor studenților de la specializările Facultății de Mecanică. Informații suplimentare se pot obține de la Domnul Conf. dr. ing. Liviu MIHON.",DIDACTIC
Rezultate de excepție ale studenților din UPT la concursul național de Rezistența Materialelor,"Ediția a XXXIV-a a Concursului profesional științific studențesc de Rezistența Materialelor “C.C.Teodorescu”, desfășurată  în perioada 14-16 mai 2015, la Universitatea Transilvania din Brașov, a reconfirmat renumele școlii timișorene. La acestă manifestare, de mare tradiție, inițiată în anii 1970 de Timișoara, au participat 9 studenți ai Universității Politehnica Timișoara, câte 3 pentru fiecare profil: mecanic, nemecanic [...]",EVENIMENT
"Studenți de la  ETc premiați la Concursul Internaţional Studenţesc Digilent – Regiunea Europa, Ediţia  XI – Premiul II","Studenții UPT au fost din nou la înălțime. În perioada 16-17 Mai, la Facultatea de Electronică, Telecomunicaţii şi Tehnologia Informaţiei din Cluj-Napoca, s-a desfășurat faza finală a Concursul Internațional Studenţesc Digilent – Etapa Europeană, Ediţia  XI (susţinerea proiectelor şi festivitatea de premiere). Andrei Verdeș si George Roșu, reprezentanții Universității Politehnica Timișoara, studenți în anul IV [...]",EVENIMENT
Concurs de proiectare CAD în cadrul Zilelor Tehnice Studențești,"Vineri, 22 mai 2015, între orele 9 &#8211; 17 în cadrul evenimentului „Zilele Tehnice Studențești”, Continental Timișoara va organiza la Facultatea de Mecanică o competiție studențească de proiectare CAD denumită „O zi de lucru în automotive”. Vor fi acordate premii pentru echipele cele mai implicate, premiul cel mare fiind o excursie la Formula Student Ungaria. [...]",DIDACTIC
Studenții UPT în vizită la Universitatea din Szeged,"În datele de 19, 21 și 27 mai 2015, 150 de studenți ai Universității Politehnica Timișoara, organizați în 3 grupe, vor participa la o vizită tematică de studiu, organizată împreună cu Universitatea din Szeged, menită să crească angajabilitatea studenților prin dezvoltarea de abilități și competențe esențiale pentru piața muncii. Vizita va cuprinde o serie de prelegeri pe tema [...]",DIDACTIC
Studenții UPT marii câștigători ai Interactive Digital Media Student Contest,Universitatea Politehnica Timișoara prin Centrul Multimedia a organizat  în data de 20 iunie 2015 Concursul Studențesc Interactive Digital Media Student Contest Ediția a II-a. Interactive Digital Media Student Contest este o competiție studențească ce își propune să stimuleze creativitatea și spiritul de competiție în domeniul multimedia. La concurs au fost prezentate 30 de proiecte dezvoltate [...],EVENIMENT
Studenții Universității Politehnica Timișoara contribuie la realizarea mașinii viitorului,"Studenții Universității Politehnica Timișoara sunt marii câștigători ai competiției „InGENIOUSly Continental” organizată de compania Continental. Zece echipe, formate din câte cinci studenți, au muncit timp de patru luni la proiectarea și construcția unor mașini care pot fi controlate cu telefonul mobil. Studenții înscriși la competiție sunt studenți ai Universității Politehnica Timișoara (Facultatea de Mecanică, Facultatea [...]",EVENIMENT
Concurs Studențesc Internațional ADAS (Advanced Driver Assistance Systems) Innovation Challenge Open,"Universitatea Politehnica Timișoara împreună cu compania Continental Automotive Romania, în calitate de sponsor unic, organizează prima ediție a concursului internațional ADAS (Advanced Driver Assistance Systems) Innovation Challenge Open (AICO). AICO reprezintă o competiție ce se adresează în primul rând studenților dar și tinerilor absolvenți interesați de dezvoltarea de aplicații folosind tehnici specifice prelucrărilor digitale de [...]",EVENIMENT
